"Symbol
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 30-Jul-2024"
NIFTY 50,"24,642.25","24,928.45","24,635.00","24,855.05","24,903.70",-,48.65,0.2,"20,52,57,396","17,037.05","26,277.35","21,743.65",-2.59,-0.01
HINDUNILVR,"2,420.10","2,536.90","2,420.10","2,437.40","2,531.90",-,94.5,3.88,"41,00,378","1,026.25","3,035.00","2,136.00",6.22,-9.44
JIOFIN,317,331.7,316.45,320.3,330.7,-,10.4,3.25,"3,71,69,869","1,220.25",363,198.65,-1.97,-2.75
ETERNAL,300,309.7,299.3,303.45,309.4,-,5.95,1.96,"1,84,01,010",563.83,314.45,194.8,14.88,-
KOTAKBANK,"1,941.20","1,993.80","1,935.00","1,959.70","1,992.30",-,32.6,1.66,"28,36,846",555.08,"2,301.90","1,679.05",-9.42,9.72
JSWSTEEL,"1,018.00","1,054.90","1,018.00","1,037.90","1,052.00",-,14.1,1.36,"18,34,100",192.03,"1,074.90",854.15,1.71,15.05
NESTLEIND,"2,225.00","2,264.00","2,221.00","2,231.50","2,259.50",-,28,1.25,"4,05,246",90.86,"2,778.00","2,110.00",-9.48,-9.2
ITC,405.95,413,405.55,407.6,412.55,-,4.95,1.21,"1,05,82,205",432.73,528.5,390.15,-2.13,-16.8
POWERGRID,284.95,294.3,284.95,288.95,291.9,-,2.95,1.02,"71,36,937",208.09,366.25,247.3,-3.65,-17.4
SHRIRAMFIN,625,639.4,623.05,632.8,638.25,-,5.45,0.86,"43,51,384",275.43,730.45,493.35,-10.48,-78.27
HEROMOTOCO,"4,210.00","4,297.80","4,201.00","4,251.30","4,283.00",-,31.7,0.75,"2,57,940",109.37,"6,246.25","3,344.00",0.34,-21.91
ICICIBANK,"1,469.90","1,492.90","1,464.00","1,482.40","1,490.90",-,8.5,0.57,"66,08,054",975.28,"1,500.00","1,153.00",2.53,22.57
AXISBANK,"1,066.00","1,080.00","1,063.90","1,073.30","1,077.60",-,4.3,0.4,"34,34,757",367.84,"1,281.65",933.5,-10.5,-8.26
TRENT,"4,975.00","5,074.50","4,964.50","5,043.50","5,063.00",-,19.5,0.39,"3,33,580",167.55,"8,345.00","4,488.00",-18.88,-10.27
TECHM,"1,450.00","1,471.50","1,447.20","1,463.20","1,468.80",-,5.6,0.38,"6,80,454",99.19,"1,807.70","1,209.40",-13.27,-4.87
M&M,"3,225.00","3,238.20","3,135.60","3,208.90","3,218.70",-,9.8,0.31,"31,81,726","1,016.27","3,303.00","2,425.00",0.81,9.81
BEL,379,388.25,378.8,386.5,387.65,-,1.15,0.3,"58,91,442",226.23,436,240.25,-8.3,21.5
SBILIFE,"1,838.00","1,857.40","1,821.40","1,839.10","1,844.00",-,4.9,0.27,"11,87,645",218.29,"1,936.00","1,372.55",0.04,6.86
TATACONSUM,"1,068.70","1,077.60","1,054.50","1,073.10","1,076.00",-,2.9,0.27,"5,90,411",63.17,"1,234.30",882.9,-2.35,-10.19
ULTRACEMCO,"12,201.00","12,316.00","12,155.00","12,268.00","12,300.00",-,32,0.26,"85,063",104.13,"12,714.00","10,047.85",1.45,3.91
BAJAJFINSV,"1,953.10","1,968.30","1,941.10","1,959.80","1,964.20",-,4.4,0.22,"3,97,299",77.67,"2,135.00","1,523.25",-4.68,19.31
HDFCBANK,"2,014.60","2,030.20","2,008.00","2,025.80","2,028.80",-,3,0.15,"48,01,259",969.55,"2,037.70","1,593.30",1.21,25.39
HINDALCO,677.1,691.4,674.95,688.8,689.55,-,0.75,0.11,"38,40,497",262.76,772.65,546.45,-0.58,4.28
TATAMOTORS,659.85,673.4,652.35,668.45,668.9,-,0.45,0.07,"1,31,45,491",874.4,"1,179.00",535.75,-2.84,-42.47
HCLTECH,"1,465.00","1,478.80","1,459.50","1,476.50","1,477.40",-,0.9,0.06,"12,05,190",177.06,"2,012.20","1,302.75",-14.58,-9.43
GRASIM,"2,735.00","2,763.30","2,727.70","2,758.60","2,760.20",-,1.6,0.06,"4,06,254",111.42,"2,896.00","2,276.95",-3.02,-1.16
HDFCLIFE,746,759.5,746,757.45,757.8,-,0.35,0.05,"7,92,263",59.77,820.75,584.3,-6.98,8.64
SBIN,795.1,803.8,792.55,801.65,801.9,-,0.25,0.03,"66,56,416",531.33,881.4,680,-2.28,-8.15
ADANIPORTS,"1,382.10","1,395.80","1,377.40","1,394.00","1,393.90",-,-0.1,-0.01,"6,24,435",86.65,"1,604.95",995.65,-3.88,-9.85
