[2025-08-07 08:00:15,680] [WARNING] [main] Unauthorized access attempt to /api/save-user
[2025-08-07 08:17:39,450] [WARNING] [main] Unauthorized access attempt to /api/save-user
[2025-08-07 09:17:55,764] [WARNING] [main] Unauthorized access attempt to /api/save-user
[2025-08-07 16:18:54,269] [WARNING] [main] Unauthorized access attempt to /api/clerk/save-user
[2025-08-07 16:25:12,748] [WARNING] [main] Unauthorized access attempt to /api/clerk/save-user
[2025-08-07 16:39:44,360] [WARNING] [main] Unauthorized access attempt to /api/clerk/save-user
[2025-08-07 16:45:11,682] [WARNING] [main] Unauthorized access attempt to /api/clerk/save-user
[2025-08-07 16:50:33,089] [WARNING] [main] Unauthorized access attempt to /api/clerk/save-user
[2025-08-07 16:55:16,139] [WARNING] [main] Unauthorized access attempt to /api/clerk/save-user
[2025-08-07 17:10:09,419] [WARNING] [main] Unauthorized access attempt to /api/clerk/save-user
[2025-08-07 17:10:57,289] [WARNING] [main] Unauthorized access attempt to /api/clerk/debug
[2025-08-08 07:58:24,831] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 07:58:24,879] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 07:58:24,882] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 07:58:24,884] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 07:58:25,401] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 07:58:25,413] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 07:58:25,426] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 07:58:25,434] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 08:26:18,059] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 08:26:18,067] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 08:26:18,075] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 08:26:18,076] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 08:26:18,631] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 08:26:18,639] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 08:26:18,648] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 08:26:18,657] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:12:26,827] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:12:26,833] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:12:26,835] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:12:26,837] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:12:26,870] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:12:26,880] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:12:26,882] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:12:26,883] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:12:26,884] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:12:26,907] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:13:35,455] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:13:35,470] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:13:35,503] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:13:35,505] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:13:35,528] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:13:36,037] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:13:36,056] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:13:36,061] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:13:36,081] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:13:36,083] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:14:26,754] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:14:26,770] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:14:26,772] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:14:26,774] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:14:26,777] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:14:27,333] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:14:27,352] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:14:27,356] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:14:27,359] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:14:27,381] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:31:17,699] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:31:17,703] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:31:17,706] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:31:17,741] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:31:17,744] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:31:17,760] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:31:17,762] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:31:17,764] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:31:17,783] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:31:17,790] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:31:22,167] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:31:22,175] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:31:22,179] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:31:22,181] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:31:22,183] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:31:22,211] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:31:22,213] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:31:22,214] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:31:22,216] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:31:22,236] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:35:27,325] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:35:27,336] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:35:27,338] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:35:27,340] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:35:27,342] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:35:27,370] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:35:27,372] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:35:27,373] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:35:27,375] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:35:27,396] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:35:45,199] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:35:45,215] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:35:45,230] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:35:45,233] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:35:45,247] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:35:45,249] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:35:45,260] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:35:45,262] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:35:45,274] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:35:45,275] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:49:30,213] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:49:30,217] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:49:30,244] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:49:30,257] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:49:30,259] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:49:30,276] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:49:30,278] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:49:30,297] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:49:30,300] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:49:30,302] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:53:42,543] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:53:42,557] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:53:42,559] [WARNING] [main] Unauthorized access attempt to /api/sensex
[2025-08-08 10:53:42,573] [WARNING] [main] Unauthorized access attempt to /api/midcap_sensex
[2025-08-08 10:53:42,580] [WARNING] [main] Unauthorized access attempt to /api/finnifty
[2025-08-08 10:53:43,120] [WARNING] [main] Unauthorized access attempt to /api/nifty50
[2025-08-08 10:53:43,130] [WARNING] [main] Unauthorized access attempt to /api/banknifty
[2025-08-08 10:53:43,133] [WARNING] [main] Unauthorized access attempt to /api/sensex
