[2025-08-18 20:54:10,144] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 20:54:23,626] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 20:54:23,628] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-18 20:54:23,629] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-18 20:54:23,630] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-18 20:54:24,701] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 20:54:24,708] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 20:54:24,715] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-18 20:54:24,729] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-18 20:54:24,733] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-18 20:54:57,931] [WARNING] [ExploreAPI] Unauthorized access attempt to /api/fallback/full-load/CIPLA.NS (missing/invalid x-internal-token)
[2025-08-18 20:55:10,391] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 20:55:10,395] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-18 20:55:10,398] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-18 20:55:10,405] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 20:55:10,409] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-18 20:58:11,046] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 20:58:11,049] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 20:58:27,408] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-18 20:58:27,409] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-18 20:58:27,409] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-18 20:58:27,410] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 20:58:27,410] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-18 20:58:27,410] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-18 20:58:27,410] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-18 20:58:27,411] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 20:58:47,807] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 20:58:47,810] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 20:58:48,435] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 20:58:48,440] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 20:58:55,817] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-18 20:58:55,818] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 20:58:55,818] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-18 20:58:55,819] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-18 20:58:58,485] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-18 20:58:58,490] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 20:58:58,492] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-18 20:58:58,495] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-18 20:59:33,030] [WARNING] [ExploreAPI] Unauthorized access attempt to /api/fallback/full-load/CIPLA.NS (missing/invalid x-internal-token)
[2025-08-18 20:59:48,734] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 21:00:03,550] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-18 21:00:03,551] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-18 21:00:03,552] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 21:00:03,552] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-18 21:00:49,025] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 21:00:49,032] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-18 21:00:49,034] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-18 21:00:49,042] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-18 21:00:49,043] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-18 21:00:54,957] [INFO] [ExploreAPI] Incoming request: GET /api/fallback/full-load/CIPLA.NS
[2025-08-18 21:00:54,961] [INFO] [ExploreAPI] Full Load Triggered for CIPLA.NS
[2025-08-18 21:00:56,541] [INFO] [ExploreAPI] Inserted new company for CIPLA with ID 29
[2025-08-18 21:01:09,320] [INFO] [ExploreAPI] Full load complete for CIPLA.NS
[2025-08-18 21:01:48,731] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-18 21:01:48,741] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
