symbol,company_name,market_cap_crores,category,rank
RELIANCE,Reliance Industries Limited,1875063.18,Large Cap,1
HDFCBANK,HDFC Bank Limited,1516257.15,Large Cap,2
BHARTIARTL,Bharti Airtel Limited,1109644.44,Large Cap,3
TCS,Tata Consultancy Services Limited,1101816.92,Large Cap,4
ICICIBANK,ICICI Bank Limited,1016983.35,Large Cap,5
SBIN,State Bank of India,759449.26,Large Cap,6
INFY,Infosys Limited,594970.62,Large Cap,7
HINDUNILVR,Hindustan Unilever Limited,585482.21,Large Cap,8
LICI,Life Insurance Corporation Of India,580982.88,Large Cap,9
BAJFINANCE,Bajaj Finance Limited,532303.84,Large Cap,10
ITC,ITC Limited,522434.43,Large Cap,11
LT,Larsen & Toubro Limited,509488.35,Large Cap,12
HCLTECH,HCL Technologies Limited,406802.9,Large Cap,13
MARUTI,Maruti Suzuki India Limited,403944.98,Large Cap,14
SUNPHARMA,Sun Pharmaceutical Industries Limited,392242.48,Large Cap,15
KOTAKBANK,Kotak Mahindra Bank Limited,390963.37,Large Cap,16
M&M,Mahindra & Mahindra Limited,389497.85,Large Cap,17
ULTRACEMCO,UltraTech Cement Limited,368279.55,Large Cap,18
AXISBANK,Axis Bank Limited,332064.86,Large Cap,19
NTPC,NTPC Limited,330851.65,Large Cap,20
TITAN,Titan Company Limited,311326.17,Large Cap,21
BAJAJFINSV,Bajaj Finserv Limited,306486.1,Large Cap,22
ONGC,Oil & Natural Gas Corporation Limited,296379.27,Large Cap,23
HAL,Hindustan Aeronautics Limited,289985.53,Large Cap,24
ADANIPORTS,Adani Ports and Special Economic Zone Limited,289491.39,Large Cap,25
ETERNAL,ETERNAL LIMITED,279661.54,Large Cap,26
BEL,Bharat Electronics Limited,278868.11,Large Cap,27
DMART,Avenue Supermarts Limited,276802.31,Large Cap,28
POWERGRID,Power Grid Corporation of India Limited,265718.49,Large Cap,29
ADANIENT,Adani Enterprises Limited,265692.22,Large Cap,30
JSWSTEEL,JSW Steel Limited,255782.34,Large Cap,31
WIPRO,Wipro Limited,253896.24,Large Cap,32
